"query","search interest","increase percent"
"la ia",100,"20%"
"gemini ia",67,"250%"
"gemini",65,"250%"
"ia gemini",65,"250%"
"google ia",64,"50%"
"ia google",64,"60%"
"ia gratis",56,"-4%"
"video ia",41,"50%"
"ia video",41,"40%"
"geminis ia",34,"100%"
"ia geminis",33,"100%"
"geminis",33,"80%"
"ia chatgpt",33,"-20%"
"detector ia",32,"-10%"
"ia chat",30,"-40%"
"ia detector",30,"-20%"
"chat ia",30,"-30%"
"detector de ia",28,"-10%"
"ia videos",27,"40%"
"videos ia",26,"40%"
"ia gpt",23,"-30%"
"ia fotos",23,"20%"
"ia imagenes",23,"-40%"
"imagenes ia",22,"-50%"
"ia de google",22,"30%"
"ia online",21,"-7%"
"claude ia",17,"200%"
"claude",17,"200%"
"ia chat gpt",16,"-40%"
"ia claude",16,"180%"
"modo ia",16,"2.450%"
"canva ia",13,"-20%"
"ia gratuit",12,"-8%"
"voz ia",11,"-20%"
"ia de imagenes",11,"-50%"
"open ia",11,"30%"
"que es la ia",11,"20%"
"humanizador",10,"20%"
"inteligencia artificial",10,"-30%"
"ia studio",9,"110%"
"humanizador de ia",9,"20%"
"ia state",9,"30%"
"meta ia",9,"-5%"
"grok",7,"160%"
"ia do google",7,"80%"
"grok ia",7,"140%"
"copilot ia",6,"-10%"
"cloud ia",5,"200%"
"ia de imagens",5,"-40%"
"gamma ia",5,"-6%"